uuid,incompatible_content_explanation,chunk_id,clarity,understanding,redress_clear,unclear_terms,detail_level
30873758-1bf7-4c95-a132-d7f716fc5cf7,"Many people around the world find entertainment through games of chance. While TikTok is an entertainment platform, we recognize that risking money in a game or a bet may lead to potential harm for some people, including serious financial loss or addiction. We do not allow the promotion of gambling services.Users and 3rd-parties can report policy violations to us. We have detected this policy violation based on a report that the content violated our Community Guidelines.",10,3,4,0,1,3
31a925ac-ecd8-42e4-95cf-305fc3edd61c,"Most activities or challenges are appropriate for everyone, but some carry a risk of significant injury. We do not allow showing or promoting dangerous activities and challenges. This includes dares, games, tricks, inappropriate use of dangerous tools, eating substances that are harmful to one’s health, or similar activities that may lead to significant physical harm.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.",7,3,3,0,2,1
40c10355-6cd6-4d57-a773-9730f6e3b033,Please resubmit the ad without the content described.  You can read more about our TikTok financial Services policies here: https://ads.tiktok.com/help/article/tiktok-ads-policy-financial-services?lang=en,17,3,3,0,3,1
40f95072-e439-40de-aa97-4e8143d2ece4,Your content is against our Community Guidelines. The guidelines include rules and standards for using TikTok that apply to everyone and everything on our platform.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures.,56,1,4,0,1,1
43630619-a623-4238-9f27-1e092e1581cf,"Please change the promoted product/service in your ad or change the targeted location(s) in your ad group settings according to our policy. For more policy details, please refer to ""TikTok Advertising Policies - Industry Entry"" (https://ads.tiktok.com/help/article?aid=6685586866860720134). Please change the promoted product/service in your ad or change the targeted location(s) in your ad group settings according to our policy. For more policy details, please refer to ""TikTok Advertising Policies - Industry Entry"" (https://ads.tiktok.com/help/article?aid=6685586866860720134).",17,3,3,0,3,3
46546aaa-f73c-446e-94ad-5a54d395c3eb,We want to enable the informed exchange of civic ideas in a way that fosters productive dialogue. Your video didn’t meet our eligibility standards for the For You Feed. Please review our Community Guidelines for more information.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.,15,3,3,0,3,3
4e5db2b6-fc0c-4b6f-9ceb-7373e214974e,"In a global community, it is natural for people to have different opinions, but we seek to operate on a shared set of facts and reality. We do not allow inaccurate, misleading, or false content that may cause significant harm to individuals or society, regardless of intent. Significant harm includes physical, psychological, or societal harm, and property damage.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.",7,3,3,0,3,1
4e7fbea9-ee3f-4ffe-a052-68d838d14c95,"We celebrate all shapes and sizes and want people to feel comfortable in how they present themselves and their bodies. Content is ineligible for the For You feed and harder to find in search if it shows moderate body exposure of a young person, or significant body exposure of an adult. We allow regional exceptions for body exposure in limited situations, such as common cultural practices.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.",29,3,3,0,2,3
67a39a58-e303-4108-99dc-bd7e3f03fe85,"We are committed to providing a space that embraces gender equity, supports healthy relationships, and respects intimate privacy. We do not allow sexual exploitation or gender-based violence, including non-consensual sexual acts, image-based sexual abuse, sextortion, physical abuse, and sexual harassment.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures.",23,3,4,0,3,3
684079b4-fb41-4319-8fb0-85c62bbf1ba7,"We are committed to making sure that any personal information shared intentionally or accidentally on TikTok does not lead to harm. We do not allow content that includes personal information that may create a risk of stalking, violence, phishing, fraud, identity theft, or financial exploitation, including content that someone has posted themselves or that they consented to being shared by others.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.",6,2,3,0,3,3
6e969d80-b37b-487e-93ef-37c14ede87ec,"We recognize that online content related to violence can cause real-world harm. We do not allow any violent threats, incitement to violence, or promotion of criminal activities that may harm people, animals, or property. If there is a specific, credible, and imminent threat to human life or serious physical injury, we will report it to relevant law enforcement authorities.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.",12,3,3,0,3,3
6faa1b94-e6a1-4e13-825c-74d778ca9e7a,Please modify or remove the related content. You can read more about our TikTok Advertising Policies on adult and sexual content at: https://ads.tiktok.com/help/article/tiktok-advertising-policies-ad-creatives-landing-page-prohibited-content#anchor-9,29,2,4,0,2,1
733ccdc0-2d2b-4868-9213-72fffdf4a1d5,"We recognize that online content related to violence can cause real-world harm. We do not allow any violent threats, incitement to violence, or promotion of criminal activities that may harm people, animals, or property. If there is a specific, credible, and imminent threat to human life or serious physical injury, we will report it to relevant law enforcement authorities.Users and 3rd-parties can report policy violations to us. We have detected this policy violation based on a report that the content violated our Community Guidelines.",12,3,3,0,3,3
758b14f0-02a4-48c7-9ca3-85dd04334686,"We are mindful that certain behaviors related to sexual arousal or suggestiveness may be offensive to some people and may put young people at risk of exploitation. Content is ineligible for the For You feed and harder to find in search if it shows sex products or intends to sexually arouse (such as intimate kissing, sexualized posing, and seductive performances or allusions to sexual activity by adults). We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures.",29,4,4,0,3,3
7f1188b2-38a8-45d9-88d7-bd329c254dab,"We are committed to providing a space that embraces gender equity, supports healthy relationships, and respects intimate privacy. We do not allow sexual exploitation or gender-based violence, including non-consensual sexual acts, image-based sexual abuse, sextortion, physical abuse, and sexual harassment.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.",23,3,4,0,3,3
856066bf-aa4d-42e6-837b-b4868b2b07ac,"Your LIVE is not eligible for recommendation and restricted in search results, because your LIVE does not comply with the For You feed eligibility standards under our Community Guidelines. Reason: sexually suggestive behaviors",29,1,4,0,1,1
8744d3bd-a0c8-4517-a7ec-621aa8da1796,"Most activities or challenges are appropriate for everyone, but some may carry a risk of significant injury. Content is ineligible for the For You feed if it involves activities likely to lead to moderate physical harm or includes professionals performing extreme sports and stunts that may endanger others.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.",7,3,3,0,2,1
8b90835e-c652-4025-80d8-8ee44143e454,"Most activities or challenges are appropriate for everyone, but some carry a risk of significant injury. We do not allow showing or promoting dangerous activities and challenges. This includes dares, games, tricks, inappropriate use of dangerous tools, eating substances that are harmful to one’s health, or similar activities that may lead to significant physical harm.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures.",7,3,4,0,2,3
973be355-1a65-426c-bbf7-541953f5175e,"TikTok is enriched by the various backgrounds of our community members. Our differences should be respected, rather than a cause for division. We do not allow any hateful behavior, hate speech, or promotion of hateful ideologies. This includes content that attacks a person or group because of protected attributes.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.",23,3,3,0,2,3
99c592ca-0d2f-4892-8de9-796e740af577,"We are committed to providing a space that embraces gender equity, supports healthy relationships, and respects intimate privacy. We do not allow sexual exploitation or gender-based violence, including non-consensual sexual acts, image-based sexual abuse, sextortion, physical abuse, and sexual harassment.Users and 3rd-parties can report policy violations to us. We have detected this policy violation based on a report that the content violated our Community Guidelines.",7,3,3,0,3,3
9e8b2b14-e94a-4ff5-8516-73379a49be00,"Please modify or remove the related content.  To submit proof of authorized use: (1) Start at TikTok Ads Manager. (2) From the column on the right, locate Tools, then select Account setup. (3) Under Basic information, select View. (4) Locate Additional documents and submit the proof.  You can read more about our TikTok Advertising Policies on intellectual property infringement at: https://ads.tiktok.com/help/article/intellectual-property-infringement-rules-adsPlease modify or remove the related content.  To submit proof of authorized use: (1) Start at TikTok Ads Manager. (2) From the column on the right, locate Tools, then select Account setup. (3) Under Basic information, select View. (4) Locate Additional documents and submit the proof.  You can read more about our TikTok Advertising Policies on intellectual property infringement at: https://ads.tiktok.com/help/article/intellectual-property-infringement-rules-ads",11,4,2,1,2,3
9eb01580-addc-4b6c-83a8-d7ecedd01aed,"Part of the joy of TikTok is coming across new and unexpected content. But the platform is not a place to intentionally shock, upset, or disgust others. We recognize this type of content may be triggering, cause psychological harm, or lead to extreme discomfort. We do not allow gory, gruesome, disturbing, or extremely violent content.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.",7,3,3,0,2,3
a8ac548a-190a-42c5-9adb-bab7c508b6ab,"We want TikTok to be a place where people can discuss emotionally complex topics in a supportive way without increasing the risk of harm. We do not allow showing, promoting, or sharing plans for suicide or self-harm. If you or someone you know has had thoughts of suicide or self-harm, support is available. Tap on “Get info” to view resources.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.",7,3,3,0,2,3
ab41a1ed-b8e9-4736-a871-e3caf7626c0b,"Many people around the world find entertainment through games of chance. While TikTok is an entertainment platform, we recognize that risking money in a game or a bet may lead to potential harm for some people, including serious financial loss or addiction. We do not allow the promotion of gambling services. Visit our {CG_link} for more information.",10,4,3,0,2,3
b26fab30-d889-400c-bbf6-a0250f86a3ea,Your content is against our Community Guidelines. The guidelines include rules and standards for using TikTok that apply to everyone and everything on our platform.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.,54,1,3,0,3,1
b4376b23-cce4-48ce-bc0a-14a3a9a2fddb,"We are mindful that certain behaviors related to sexual arousal or suggestiveness may be offensive to some people and may put young people at risk of exploitation. Content is ineligible for the For You feed and harder to find in search if it shows sex products or intends to sexually arouse (such as intimate kissing, sexualized posing, and seductive performances or allusions to sexual activity by adults). We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.",29,3,3,0,3,3
be02a93f-de33-46ed-8c7c-89bd7bbebc0f,"Regulated goods and services often play an important and essential role in people’s lives. However, these items are regulated for a reason. TikTok is not a place for illegal traffic or trade, or an unofficial market. We do not allow facilitating the trade of regulated, prohibited, or high-risk goods and services, such as alcohol, tobacco products, regulated substances, firearms and other dangerous weapons, sexual services, animals, or counterfeit goods.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.",82,3,3,0,2,3
c44cca27-53a1-4265-8b01-9656483e4e83,"We welcome the respectful expression of different viewpoints but not toxicity or trolling. We do not allow language or behavior that harasses, humiliates, threatens, or doxxes anyone. This also includes responding to such acts with retaliatory harassment (but excludes non-harassing counter speech).We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures.",23,2,3,0,3,1
c94e5bf2-3301-4cee-bf94-143773f2aec9,"TikTok is enriched by the various backgrounds of our community members. Our differences should be respected, rather than a cause for division. We do not allow any hateful behavior, hate speech, or promotion of hateful ideologies. This includes content that attacks a person or group because of protected attributes.Users and 3rd-parties can report policy violations to us. We have detected this policy violation based on a report that the content violated our Community Guidelines.",23,3,3,0,2,3
cf03a28e-1a48-487d-b1ab-53ff3431f397,Your account was permanently banned because of multiple policy violations.,54,1,2,0,3,1
d19e235c-dd3a-4582-8f90-b9d2b6a4aa68,"Your LIVE is not eligible for recommendation and restricted in search results for the next 10 minutes, because it contains content with low visual quality or static imagery. This is in line with the For You feed eligibility standards under our Community Guidelines.",54,1,3,0,3,1
d1bff352-8b9c-4797-9889-3fbeb6dd3c9c,"While adults make personal choices about how they engage with alcohol, drugs, and tobacco, we recognize that there are risks connected to trading and using these substances. Content is ineligible for the For You feed and harder to find in search if it shows adults consuming excessive amounts of alcohol or tobacco products.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures.",8,3,4,0,3,3
d8221860-af19-4edd-bcd1-010c0d9663a6,"TikTok can be a place that educates people on the responsible use and ownership of weapons, as well as the associated potential for serious harm. Firearms and explosive weapons can cause severe injury or death, especially when used in an unsafe manner. We do not allow the trade of firearms or explosive weapons, or content showing or promoting them if they are not used in a safe or appropriate setting.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures.",6,3,3,0,2,3
dd03e3f8-e62b-4fc4-962c-a76a5c3830aa,"TikTok is enriched by the various backgrounds of our community members. Our differences should be respected, rather than a cause for division. We do not allow any hateful behavior, hate speech, or promotion of hateful ideologies. This includes content that attacks a person or group because of protected attributes. Visit our {CG_link} for more information.",23,3,3,0,3,1
ed2299e3-d9d6-4321-897c-bdec774e3f8a,We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures.,54,1,2,0,3,1
ed923a2b-569c-4820-9a39-1987a253e795,"Part of the joy of TikTok is coming across new and unexpected content. But the platform is not a space to intentionally shock, upset, or disgust others. Content is ineligible for the For You feed and harder to find in search if it shows fictional violence, blood, potentially distressing or mildly graphic material, animal genitalia or sexual activity between animals, or if it contains graphic footage of events that are in the public interest to view.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.",7,3,4,0,2,3
f3a6083a-e606-400e-838f-119fe3650b27,Your content is against our Community Guidelines. The guidelines include rules and standards for using TikTok that apply to everyone and everything on our platform.Users and 3rd-parties can report policy violations to us. We have detected this policy violation based on a report that the content violated our Community Guidelines. We have used automated measures to make the decision.,54,1,3,0,3,1
f6237aa1-4d94-4d55-86f4-13eb9a173ecb,"We want our platform to be a place that respects animals and celebrates the ways that they enrich our lives across different cultures and regions. We do not allow animal abuse, cruelty, neglect, trade, or other forms of animal exploitation.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.",9,2,3,0,2,1
facbda6a-1960-40bc-b5f7-af11b3a67397,"While adults make personal choices about how they engage with alcohol, drugs, and tobacco, we recognize that there are risks connected to trading and using these substances. We do not allow showing or promoting recreational drug use, or the trade of alcohol, tobacco products, and drugs.We proactively enforce our Community Guidelines through a mix of technology and human moderation. We have detected this policy violation using automated measures. We have used automated measures in making this decision.",22,3,4,0,2,3
fff5d54b-e963-4b5d-a80c-14aacac8be79,Your account was banned due to policy violations in Youth Exploitation and Abuse,30,1,2,0,2,1
